time,col1,col2
2017-05-26,-0.12911041,-0.130552472
2017-05-27,-0.146647803,-0.145362288
2017-05-28,-0.165903537,-0.160787523
2017-05-29,-0.186144723,-0.177019486
2017-05-30,-0.206841358,-0.194098128
2017-05-31,-0.227511419,-0.211952717
2017-06-01,-0.247931422,-0.230407183
2017-06-02,-0.267909864,-0.249366595
2017-06-03,-0.287671973,-0.268546272
2017-06-04,-0.306808147,-0.287766058
2017-06-05,-0.325066238,-0.306820525
2017-06-06,-0.342827693,-0.325493536
2017-06-07,-0.359963019,-0.343418315
2017-06-08,-0.376331233,-0.360342589
2017-06-09,-0.391885166,-0.376039408
2017-06-10,-0.405685314,-0.390273535
2017-06-11,-0.417832296,-0.402787716
2017-06-12,-0.427927652,-0.413578955
2017-06-13,-0.436375712,-0.422534968
2017-06-14,-0.442158363,-0.429518667
2017-06-15,-0.446893593,-0.434729684
2017-06-16,-0.449212026,-0.438085796
2017-06-17,-0.450176434,-0.439516889
2017-06-18,-0.449518037,-0.439116312
2017-06-19,-0.44683614,-0.436876602
2017-06-20,-0.442153886,-0.43326764
2017-06-21,-0.435045487,-0.427505143
2017-06-22,-0.425482639,-0.420073886
2017-06-23,-0.413301567,-0.410609125
2017-06-24,-0.398846612,-0.399074262
2017-06-25,-0.382376779,-0.385357771
2017-06-26,-0.363785641,-0.370203806
2017-06-27,-0.343491112,-0.352442928
2017-06-28,-0.321163152,-0.333004815
2017-06-29,-0.297353301,-0.311839951
2017-06-30,-0.27229889,-0.289005906
2017-07-01,-0.246292375,-0.264555425
2017-07-02,-0.219038977,-0.238790851
2017-07-03,-0.189951952,-0.21147681
2017-07-04,-0.162924945,-0.183363833
2017-07-05,-0.129748771,-0.153418912
2017-07-06,-0.096139735,-0.122996047
2017-07-07,-0.066298692,-0.091998538
2017-07-08,-0.032339741,-0.061031987
2017-07-09,-0.000457702,-0.030047292
2017-07-10,0.033180451,0.00084194
2017-07-11,0.065431363,0.031514544
2017-07-12,0.094405609,0.061740863
2017-07-13,0.123626058,0.091240399
2017-07-14,0.152201585,0.120364278
2017-07-15,0.181198233,0.148816671
2017-07-16,0.207972296,0.176291584
2017-07-17,0.233187355,0.202835851
2017-07-18,0.25752025,0.228611833
2017-07-19,0.281788685,0.25303548
2017-07-20,0.305244155,0.275979605
2017-07-21,0.326561197,0.297262066
2017-07-22,0.346447195,0.316924498
2017-07-23,0.364054752,0.335104107
2017-07-24,0.379646712,0.351472639
2017-07-25,0.392669379,0.366062322
2017-07-26,0.403379865,0.378713534
2017-07-27,0.412684177,0.38936367
2017-07-28,0.419612258,0.397783321
2017-07-29,0.424844058,0.404219171
2017-07-30,0.428080406,0.408853599
2017-07-31,0.429438801,0.411783691
2017-08-01,0.428983023,0.413001961
2017-08-02,0.42724511,0.412470125
2017-08-03,0.423481734,0.410343241
2017-08-04,0.41765525,0.406617723
2017-08-05,0.410404999,0.401333006
2017-08-06,0.402431323,0.394602447
2017-08-07,0.392605221,0.386381226
2017-08-08,0.380342351,0.376686856
2017-08-09,0.366555793,0.365421516
2017-08-10,0.351278294,0.352792766
2017-08-11,0.335062234,0.339032406
2017-08-12,0.317077688,0.323779924
2017-08-13,0.298043648,0.307237846
2017-08-14,0.278654706,0.28945184
2017-08-15,0.258553632,0.270369619
2017-08-16,0.237703614,0.250096857
2017-08-17,0.215889856,0.228836446
2017-08-18,0.193397187,0.206662217
2017-08-19,0.170866832,0.183960122
2017-08-20,0.147595269,0.160742003
2017-08-21,0.12401322,0.13743257
2017-08-22,0.100385391,0.114163027
2017-08-23,0.077115204,0.091082819
2017-08-24,0.054889011,0.068377326
2017-08-25,0.033277216,0.046104709
2017-08-26,0.01202139,0.024459596
2017-08-27,-0.008870805,0.003541996
2017-08-28,-0.028912981,-0.016330025
2017-08-29,-0.048349502,-0.034874939
2017-08-30,-0.067337062,-0.052511403
2017-08-31,-0.085541122,-0.069491768
2017-09-01,-0.103074277,-0.085713677
2017-09-02,-0.11939594,-0.101448986
2017-09-03,-0.134894302,-0.11659651
2017-09-04,-0.149755738,-0.131185931
2017-09-05,-0.163048464,-0.14516948
2017-09-06,-0.175197956,-0.158413178
2017-09-07,-0.185999719,-0.170857153
2017-09-08,-0.195511405,-0.182128581
2017-09-09,-0.204081494,-0.192023765
2017-09-10,-0.211382133,-0.200018554
2017-09-11,-0.217030874,-0.20627279
2017-09-12,-0.220665227,-0.210740447
2017-09-13,-0.221875707,-0.213270717
2017-09-14,-0.22115233,-0.214049044
2017-09-15,-0.218661847,-0.213076892
2017-09-16,-0.214606361,-0.210474606
2017-09-17,-0.208880581,-0.206295061
2017-09-18,-0.202031204,-0.200761669
2017-09-19,-0.194140928,-0.194481334
2017-09-20,-0.185866808,-0.187673348
2017-09-21,-0.177546903,-0.180560021
2017-09-22,-0.168693506,-0.17310231
2017-09-23,-0.160163662,-0.165554277
2017-09-24,-0.151208196,-0.158202545
2017-09-25,-0.14242457,-0.150587106
2017-09-26,-0.133300484,-0.142949854
2017-09-27,-0.123642828,-0.134985213
2017-09-28,-0.113836828,-0.126553565
2017-09-29,-0.103351808,-0.117674284
2017-09-30,-0.092468444,-0.107897234
2017-10-01,-0.080905628,-0.097587912
2017-10-02,-0.071708938,-0.087038427
2017-10-03,-0.059713799,-0.076360311
2017-10-04,-0.048615256,-0.066025441
2017-10-05,-0.040327061,-0.056224512
2017-10-06,-0.032228044,-0.047426451
2017-10-07,-0.026989607,-0.039803735
2017-10-08,-0.022166256,-0.033167078
2017-10-09,-0.018282074,-0.02776071
2017-10-10,-0.016086545,-0.023638504
2017-10-11,-0.014347226,-0.020226812
2017-10-12,-0.013144735,-0.017650417
2017-10-13,-0.011320015,-0.015531599
2017-10-14,-0.00924944,-0.013703115
2017-10-15,-0.006442975,-0.011866677
2017-10-16,-0.003415076,-0.009939511
2017-10-17,-0.000453147,-0.007655071
2017-10-18,0.002468777,-0.005189404
2017-10-19,0.004411273,-0.002772711
2017-10-20,0.005796409,-8.97E-05
2017-10-21,0.005923906,0.002115878
2017-10-22,0.005241111,0.003612944
2017-10-23,0.003998405,0.004152838
2017-10-24,0.001683054,0.003932519
2017-10-25,-0.001525209,0.002167649
2017-10-26,-0.005391874,-0.000390088
2017-10-27,-0.009350297,-0.003805556
2017-10-28,-0.01249778,-0.008076413
2017-10-29,-0.015305115,-0.012861843
2017-10-30,-0.017723272,-0.017797896
2017-10-31,-0.019573251,-0.022309125
2017-11-01,-0.021272712,-0.025942324
2017-11-02,-0.021958505,-0.028181674
2017-11-03,-0.021957355,-0.028687245
2017-11-04,-0.021125252,-0.027286833
2017-11-05,-0.019368806,-0.023881759
2017-11-06,-0.016696936,-0.019149223
2017-11-07,-0.013210456,-0.013304179
2017-11-08,-0.009054783,-0.006983465
2017-11-09,-0.004938402,-0.000432998
2017-11-10,-0.000577348,0.006031842
2017-11-11,0.004124264,0.012646213
2017-11-12,0.009836127,0.019008705
2017-11-13,0.016442564,0.025970301
2017-11-14,0.02441809,0.033517507
2017-11-15,0.034327626,0.041718955
2017-11-16,0.045955928,0.050731217
2017-11-17,0.059301232,0.061084686
2017-11-18,0.074237968,0.072827133
2017-11-19,0.090823986,0.08620307
2017-11-20,0.108947327,0.101439331
2017-11-21,0.127825224,0.118520161
2017-11-22,0.147158651,0.137204875
2017-11-23,0.166558669,0.157185854
2017-11-24,0.186565344,0.178266283
2017-11-25,0.207344747,0.200318002
2017-11-26,0.229236854,0.222433076
2017-11-27,0.251662136,0.244487761
2017-11-28,0.275377677,0.266407064
2017-11-29,0.299648361,0.288385105
2017-11-30,0.324501804,0.310602639
